Product Name,Units Reimbursed,Number of Prescriptions,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed
FUROSEMIDE,58580401.09,1356963.0,8557712.249999987,379583.7400000002
ALPRAZOLAM,77903157.76,1339693.0,9203862.319999997,332789.4000000007
PREDNISOLO,80530798.69999999,1332263.0,19340118.349999987,161558.20999999996
BUPRENORPH,35903928.68,1320989.0,126242282.85000007,548149.54
CEPHALEXIN,91473949.42099999,1311186.0,14382253.69000003,195324.98
RISPERIDON,61168276.46,1307787.0,14717666.530000003,449488.66999999975
FAMOTIDINE,60125426.774,1306690.0,14849539.300000025,744214.9500000001
CLINDAMYCI,73146043.444,1253949.0,41904348.84000009,645410.9799999999
BUSPIRONE,87877790.11500001,1246134.0,14923037.220000006,329803.74999999994
CLONAZEPAM,67911588.77199998,1239100.0,8770972.600000009,410735.7299999998
GUANFACINE,46097872.106000006,1230561.0,26629807.129999988,620339.2999999999
LAMOTRIGIN,72515731.483,1222344.0,25474612.86000002,1270072.8199999991
CITALOPRAM,42613179.997999996,1214863.0,7215648.68,335255.0100000001
SIMVASTATI,43689826.012,1209129.0,5921472.849999999,125620.50000000012
VENLAFAXIN,47562294.67,1208377.0,21911930.119999964,464359.6399999999
FLUCONAZOL,6417648.900999999,1177761.0,9222055.649999993,234943.26000000036
FLOVENT HF,13536880.500999996,1165072.0,273313034.4999999,5631171.199999998
FOLIC ACID,42348735.032000005,1153490.0,4867302.270000001,111472.87000000002
HYDROCORTI,54323972.640999995,1084943.0,12367473.119999986,153773.58999999994
TOPIRAMATE,69005552.81100005,1076740.0,15529436.180000003,457417.35000000015
MELOXICAM,38884239.655999996,1063736.0,6089988.679999998,195294.33000000013
CHILDREN'S,169201794.17000005,1060934.0,7056533.820000002,50780.069999999985
DICLOFENAC,96542625.319,1059891.0,24499230.630000044,252054.92999999985
METRONIDAZ,29921618.427000005,1056572.0,22167774.099999994,312669.9100000001
DIVALPROEX,77158985.776,1019905.0,24572545.17000004,529639.8900000001
CARVEDILOL,72369439.402,1010978.0,7303829.179999994,166179.11999999994
LEVETIRACE,153604830.09199995,1003676.0,19497328.720000003,506570.6400000005
OXYCODONE,70948262.21599999,999970.0,16499955.139999986,305393.28000000014
BENZONATAT,30231033.6,989547.0,8239404.5300000105,153893.4599999999
BROMPHENIR,145233328.342,969973.0,14291036.870000003,54947.95
SULFAMETHO,42085022.35000001,950743.0,8053834.780000002,184888.31000000003
TRAMADOL H,52670891.225999996,946978.0,5986958.740000005,163902.44999999995
MIRTAZAPIN,27433217.179999996,903052.0,10309200.789999982,259307.68999999992
POLYETHYLE,343935806.955,887632.0,13502242.059999995,126385.68999999994
MUPIROCIN,20864148.169999994,884702.0,10980178.700000007,130199.58999999995
TIZANIDINE,58634558.50400001,877979.0,10036448.789999988,238383.4899999998
AMITRIPTYL,33969349.823,843561.0,10626271.239999976,221092.48999999996
DOXYCYCLIN,23390149.917999994,843398.0,13685363.760000015,277716.9099999995
POTASSIUM,58998568.92500001,835395.0,26597103.86000001,531590.3400000004
OXYCODONE-,46355344.686,796792.0,13232589.360000022,170438.81000000003
GLIPIZIDE,49253306.400000006,784571.0,5797761.5400000075,96809.28
METHYLPRED,14733351.51,763216.0,8152837.530000008,412852.6400000005
OLANZAPINE,25213901.17,761596.0,12459291.74000002,227380.42999999982
KETOROLAC,3006886.1139999987,745520.0,33288311.359999992,1444196.5300000007
ASPIRIN EC,25549818.507,742035.0,3118308.159999999,39543.82999999999
TAMSULOSIN,26095589.8,712569.0,5565865.640000003,135744.7399999999
KETOCONAZO,63860440.19100002,710850.0,16290339.020000003,150356.52
PROPRANOLO,44863127.497,708342.0,11685592.479999999,180392.6599999998
RANITIDINE,50125730.206999965,699726.0,7508089.449999988,298249.92
SPIRONOLAC,31062472.823999994,698616.0,6909880.210000005,131645.19000000003
ACETAMINOP,40460478.289000005,687372.0,4544423.389999997,72341.35000000012
CLOPIDOGRE,22951022.518999998,669571.0,5125645.540000002,145853.6700000001
PAROXETINE,23194822.354000002,665196.0,6176837.940000001,177765.45000000007
DEXAMETHAS,4701554.627999998,645699.0,35784028.58999997,4093503.8599999975
VALACYCLOV,17051118.178,645584.0,10484396.219999991,253982.51999999973
PRAVASTATI,23077058.5,642722.0,5709031.799999994,110891.09999999996
NAPROXEN 5,28582711.373999998,633342.0,4164940.9299999997,130297.73
SUMATRIPTA,6344981.700000001,609539.0,14706312.390000006,276057.15999999986
CLOTRIMAZO,21396751.856000002,601251.0,9460125.989999996,91723.94000000002
OXCARBAZEP,66125420.019999996,598658.0,20369808.8,665617.2399999995
BENZTROPIN,29457342.942,588752.0,6041778.639999998,120798.32999999991
LORAZEPAM,23613356.185,584938.0,8212395.34,386284.7399999998
Albuterol,9990989.817999998,572230.0,24131094.58,155988.09999999998
LIDOCAINE,31527494.456000026,539273.0,28187608.82000001,423968.4800000003
NITROFURAN,9914798.727,529336.0,21331576.560000002,952669.8700000001
MEDROXYPRO,3903874.643000003,528885.0,23971275.21999999,690659.1100000001
METHOCARBA,31909697.454,525889.0,5032859.270000003,97182.32999999991
IPRATROPIU,75763434.986,523599.0,10891040.870000001,456711.71000000095
CIPROFLOXA,8508256.693999998,521459.0,5284621.110000007,107874.31999999998
Omeprazole,18955070.889000002,514152.0,4046944.2099999967,183599.52000000005
NYSTATIN 1,29099578.097000003,508681.0,6455848.839999996,70915.53
MIXED AMPH,16100360.85,503297.0,30160220.820000008,317591.87000000005
Ibuprofen,45248822.15400001,490989.0,3849436.940000001,65717.99999999999
DIPHENHYDR,15184561.384999998,488063.0,13368566.209999995,4361638.9799999995
BUDESONIDE,30137025.41100001,486938.0,88514123.84999987,1905373.0500000012
ROSUVASTAT,16798028.5,481366.0,5804326.329999996,120724.86000000003
Amlodipine,19765565.152,475472.0,2989969.6,139804.77000000002
LITHIUM CA,32005975.5,471417.0,5740505.170000001,140202.06000000003
DICYCLOMIN,32800427.406,470762.0,6641902.550000008,108647.34000000005
Gabapentin,46865872.085,463548.0,6060106.700000001,177626.53999999995
METHADONE,16225795.13,462897.0,4755729.259999993,16091.819999999994
OXYBUTYNIN,27060959.576000005,460151.0,6978862.309999998,133489.82
ASPIRIN 81,16136152.446999999,459024.0,1007481.2699999993,26255.980000000003
SYMBICORT,4764210.32,458951.0,153973745.31,1933502.4599999997
SUBOXONE 8,11416359.0,454867.0,100875219.4,652504.7900000002
SODIUM CHL,641430640.8400003,453128.0,55765070.77,4898753.669999997
CEFTRIAXON,3218777.3680000002,450827.0,12096539.769999992,1231512.479999999
DOCUSATE S,24702142.536000002,450810.0,1645964.18,35173.32000000001
FENOFIBRAT,15083991.266,446987.0,7720938.369999991,62101.41000000006
Oseltamivi,31562922.592999995,445093.0,33992291.210000016,518624.6900000001
BASAGLAR 1,5947648.6,442420.0,125999075.71999998,704502.96
CEFDINIR 2,34637519.400000006,440498.0,10208293.340000002,87609.11999999998
DEXMETHYLP,15078950.0,429739.0,28944395.04000003,729617.7899999991
ALLOPURINO,17992066.667999998,417870.0,3276012.3800000013,103633.66999999993
ATOMOXETIN,13439336.383,411222.0,33009625.920000043,861367.069999999
ACYCLOVIR,21656322.263000008,404662.0,8614920.469999997,158535.5899999999
FOCALIN XR,12264266.0,400101.0,155685328.60000002,1125057.9799999995
ASPIRIN LO,15308145.0,398742.0,1131706.6400000001,12290.24
PREGABALIN,27598859.5,397642.0,19485404.069999974,213421.2599999999
Montelukas,13043320.5,393306.0,3988271.839999997,168811.47000000018
GLIMEPIRID,20043813.0,392838.0,2800105.709999998,50704.069999999985
LATANOPROS,1016907.834,373400.0,3539550.2399999993,94828.85000000002
HYDRALAZIN,34295179.155999996,372885.0,4479921.5500000045,72865.62999999999
OFLOXACIN,2411602.0,372703.0,10153231.570000004,104388.07
ERYTHROMYC,6093128.0320000015,367285.0,15278535.890000014,745068.3999999994
NIFEDIPINE,26481174.338,366659.0,6401875.020000004,75900.10999999997
NORETHINDR,14195403.242999997,363514.0,6599269.579999994,57265.80000000002
ADDERALL X,12155455.32,361906.0,79021934.67999999,2614733.979999999
CYANOCOBAL,575598.28,360279.0,3159743.060000004,488130.29000000004
AZELASTINE,8746728.1,355125.0,5458091.689999997,73953.61999999995
ESTRADIOL,12149754.274000002,351042.0,13906304.309999991,157113.5199999999
Ondansetro,5639218.260000002,347594.0,3340685.2099999967,526186.5399999998
Atorvastat,14178626.0,344829.0,3309496.999999999,108075.52000000006
VITAMIN D3,13931312.534,342617.0,1559706.1400000001,109972.11000000002
Metformin,29308722.5,341492.0,3088838.059999999,83202.37000000002
ZOLPIDEM 1,9642777.99,340914.0,1987717.7300000016,66234.20999999999
Ergocalcif,1740003.8480000002,340651.0,1913512.38,61665.47999999999
APAP ES 50,24536693.94,338347.0,1135219.3700000008,24601.44
PENICILLIN,21423882.582999997,338147.0,2878171.5,54095.99999999998
LANTUS 3ML,4739629.699999999,337326.0,126915731.82000002,1552256.91
DOK 100 MG,18182335.07,333355.0,1655468.47,71235.42000000001
BACLOFEN 1,23784413.591999993,332788.0,3890004.580000002,109111.73000000003
TRIMETHOPR,3365122.8910000003,323345.0,3039760.8000000003,27378.530000000006
STOOL SOFT,17871245.0,318894.0,1371801.6599999992,15572.430000000002
HALOPERIDO,11159703.193000004,317148.0,14088068.649999995,251060.56999999998
VYVANSE,9386650.0,315696.0,94447225.36999999,2621503.0000000005
CEFDINIR,19357957.9,314703.0,7420867.009999998,43813.61999999997
Lisinopril,13998834.48,313864.0,1787611.9499999995,91131.15000000001
Levothyrox,11832715.804000001,313662.0,4537764.300000005,113900.21999999997
ALENDRONAT,1841677.9020000005,313431.0,1713500.6299999997,57019.82
MORPHINE S,13985411.127999997,312919.0,16769276.840000002,306453.32
ZOLPIDEM T,8477375.99,303594.0,2399673.539999999,83087.03000000001
Azithromyc,4297193.619999999,301739.0,3581408.3699999964,124672.96000000004
CYPROHEPTA,33827173.713,296106.0,5050515.669999994,78823.62999999999
METOCLOPRA,17826913.818000004,294850.0,5436305.329999993,325363.3300000003
MECLIZINE,12998057.1,292988.0,2368035.6300000018,48625.64000000002
WARFARIN S,10548509.502,291841.0,2265363.8000000026,83086.88000000005
CHLORHEXID,140823773.74899998,291006.0,1378537.7599999998,44850.97000000001
CHLORTHALI,10301982.8,290127.0,5157808.119999996,58066.960000000036
VYVANSE 30,8667602.0,289574.0,85752392.36999999,3264416.6199999987
ENALAPRIL,13373442.407,287043.0,4012025.9299999974,39398.88000000002
NAPROXEN,12809140.950000001,284803.0,2430147.7699999977,21199.699999999993
Buprenorph,7245039.375,279372.0,21856212.749999996,125986.84999999996
ISOSORBIDE,12151482.5,278965.0,3966969.5899999966,60010.05000000005
ROPINIROLE,13004890.0,273204.0,2623694.8099999973,66950.32000000004
VENTOLIN H,5143361.71,273113.0,12071999.979999999,486552.12
"MELOXICAM,",9064157.911,272826.0,1182070.5999999992,42047.74000000001
Metoprolol,13113097.040000001,271792.0,2808481.55,81135.68999999992
LEVOFLOXAC,3320477.4209999996,269422.0,2894841.539999999,127986.69000000002
BUTALBITAL,11090712.0,269273.0,8858803.919999992,92711.05
METHADOSE,14852076.485000001,267691.0,3527490.8999999994,5976.92
SUCRALFATE,35040654.296,260292.0,10945693.219999978,164208.96000000005
Quetiapine,10500340.825,259906.0,3758765.129999999,107079.97000000004
VYVANSE 40,7723082.0,257490.0,76039294.09,3182271.1799999997
Suboxone S,5219681.0,257096.0,46532174.9,158576.76
Hydrochlor,10332618.251999998,252647.0,1283304.7500000007,62097.62000000003
LACTULOSE,193348590.28999996,252191.0,3790099.6400000034,44459.95000000002
MOMETASONE,9219295.361,250321.0,5921583.83,95754.62000000007
BENZOYL PE,33087417.47,249548.0,2517721.1899999995,6967.059999999999
CHLD ACETA,39308304.602000006,249237.0,1337934.51,24676.52
CARBAMAZEP,27679786.672000002,248395.0,16652927.689999992,341869.6499999996
ADMELOG SO,3744257.0,246888.0,61544668.08000001,98313.56000000001
HYDROXYCHL,13811006.549999995,246516.0,6275133.049999996,96875.32000000004
JANUVIA 10,8193291.029999999,243605.0,123669621.62999998,903538.11
ZIPRASIDON,11256689.367999999,238761.0,6761822.700000008,136873.47999999992
DILTIAZEM,16249987.443,235519.0,5812326.310000009,103314.34000000007
NORTRIPTYL,11900469.668000001,233838.0,2253329.1,77453.54000000002
CLOBETASOL,11700577.8,232207.0,11603180.770000016,127099.45000000007
PIOGLITAZO,8453172.0,231651.0,2633566.610000001,29348.279999999973
TRULICITY,500092.5,231318.0,183313769.42000008,2261798.9299999997
Duloxetine,9430770.0,230784.0,3624417.1799999983,95090.96999999997
LABETALOL,18202157.699,229676.0,4588340.8999999985,130369.60000000006
METHOTREXA,5557551.599,229361.0,5135054.959999998,110084.21999999993
ARTIFICIAL,3561845.9489999996,228143.0,1575897.87,12453.34
EPINEPHRIN,667870.31,225647.0,64263838.579999976,1013615.9299999996
PRAZOSIN H,9828688.289,224786.0,4592792.3199999975,42116.11000000004
DRL CET 10,7307627.5,224552.0,500846.37000000005,21248.51
SUBOXONE,6366233.0,223655.0,58260721.31000002,111090.06999999998
LORAZEPRAM,9818212.523,222952.0,1351490.039999999,36520.49
JARDIANCE,7305984.0,221359.0,120843741.04000004,1115271.7599999998
LEVOCETIRI,9177465.0,217096.0,2906689.6700000023,74606.55999999998
MAGNESIUM,15600197.177999998,216713.0,10344734.789999997,375406.19999999995
NOVOLOG 10,3860116.3300000005,216016.0,118904790.21999995,5106805.2700000005
AMOXICLLIN,34815775.0,214672.0,1864295.5100000007,9037.039999999999
CELECOXIB,9394407.37,214220.0,3948246.549999998,77917.89000000001
APAP 325MG,15163429.498,213841.0,893727.5800000004,11414.38
LOVASTATIN,7958024.6,211273.0,1544180.0799999987,47382.26000000005
Lamotrigin,11891085.184000002,211137.0,3203903.55,229197.10999999996
BETAMETHAS,7217952.199,210118.0,7892070.899999992,222310.4200000001
LOSARTAN-H,7666128.0,209475.0,4145872.7700000005,34517.97000000002
NYSTATIN,12511448.980999999,207757.0,2853909.540000003,16735.34999999999
BASAGLAR,2768835.0,207116.0,58984420.81000001,272731.15
CLOZAPINE,11287307.5,206971.0,14401128.93000002,212729.4300000001
QVAR REDIH,2213136.3,206083.0,45310323.49000002,829243.4100000006
LANTUS SOL,2812153.9,204872.0,77386125.61000003,792377.54
BENAZEPRIL,9162582.167,204148.0,1757366.900000002,22468.709999999992
CEFDINIR 3,3660620.334,203519.0,2847152.5300000026,45660.28999999999
AMOX-CLAV,14529684.1,203084.0,3109718.7699999986,84037.18000000002
TRETINOIN,7139904.61,201282.0,18055775.539999995,242156.17000000013
HISTEX PD,6422063.8,201156.0,3288997.3,15.06
0.9% SODIU,237709142.61900002,200957.0,10006704.91000001,5743036.369999997
SYNTHROID,6967050.9,200838.0,8676792.619999992,151696.58999999997
CODEINE PH,6189474.041999999,200679.0,1597823.9300000006,33551.88
LOSARTAN 1,7583364.159000001,199259.0,1405971.8900000001,23114.670000000006
VYVANSE 50,5912745.0,198064.0,58105235.099999994,2450125.9699999997
BACLOFEN,15089320.217000002,197648.0,3468382.120000003,43472.060000000005
DEPO-MEDRO,263440.44000000006,196551.0,2603735.2800000003,674827.3000000003
XULANE TDS,747700.8859999999,192413.0,27548004.680000015,85716.89000000001
PROVENTIL,1429414.3420000004,192328.0,17178030.18,89236.67000000001
VYVANSE 20,5747105.5,191913.0,56854830.57,2197309.7
BREO ELLIP,11684785.799999999,189528.0,66800143.74000003,1115866.93
MULTIVITAM,7198541.0,187866.0,1264366.9599999997,28580.069999999992
AMMONIUM L,56669973.466,187843.0,3522712.839999999,23216.38000000001
LOSARTAN 5,7574996.551,185824.0,1279019.43,22796.539999999997
Escitalopr,6693300.0,183479.0,1443435.1700000016,60609.10999999999
Aripiprazo,5711766.858,183349.0,6165227.200000001,194915.10999999996
FEXOFENADI,6270459.858,181615.0,1948389.1200000013,26137.5
"EPOGEN 20,",72888.76199999999,180332.0,14335198.979999999,1202201.03
ZONISAMIDE,17060570.310000002,177760.0,3611870.7500000047,131507.29999999996
RIZATRIPTA,1770344.8,177613.0,2783685.4699999993,61631.020000000026
Mixed Amph,5843246.0,176931.0,10934214.009999996,149591.80999999988
KENALOG-40,186662.66999999998,176703.0,1323345.8500000003,596040.8000000003
Amoxicilli,7304793.0,176632.0,2125085.1900000013,60575.310000000005
Oxycodone,11310380.09,176631.0,2893215.2100000046,66454.5
GEMFIBROZI,11161685.0,175567.0,1947972.3800000001,24866.479999999992
EZETIMIBE,5909204.0,174348.0,2832621.6899999995,40071.15999999999
TACROLIMUS,19149994.697,174130.0,19214078.650000002,1300506.6999999993
ERGOCALCIF,1022615.5380000001,173215.0,615263.72,1068.48
CEFDINIR 1,14780321.9,171784.0,3262751.6300000004,17904.189999999995
HUMALOG 10,2933090.1130000004,171211.0,83028824.68,2983467.3700000006
NAPROXEN T,7883646.0,170599.0,1372272.3599999999,24379.089999999993
PERMETHRIN,11041152.0,167452.0,6354616.2399999965,43050.74999999998
Benzonatat,4976116.0,167205.0,1474245.3899999985,43745.00000000002
BASAGLAR K,2257030.6,167021.0,47635620.81,141420.98
KETOTIFEN,937715.5,164896.0,1285096.95,17960.21
Trazodone,6759494.950999999,161137.0,1328514.1999999995,47639.21000000002
CIPRODEX O,1211413.773,161068.0,38092059.42000001,848972.6500000001
ELIQUIS 5,9553125.6,158670.0,71969571.29,519907.73
TERBINAFIN,5075339.507999999,156396.0,1423969.9199999997,26682.63
TOBRAMYCIN,2887851.409,156078.0,13905079.500000006,572859.96
Clonazepam,8484819.021000002,156012.0,1112236.5499999998,50593.349999999984
ASPIR-LOW,5462776.0,155757.0,673167.2799999998,3720.270000000001
HYDROMORPH,6016519.946000002,155384.0,15961001.789999995,406304.2000000001
NEOMYCIN-P,1432612.57,154911.0,7414495.1,53982.510000000024
LANSOPRAZO,11618347.685999999,153892.0,10033318.299999997,554877.6900000002
PRAZOSIN 1,6650043.0,153715.0,2471682.8299999996,34940.80000000002
XARELTO 20,4793191.0,153295.0,70783850.55000001,833423.9299999999
Bupropion,5323252.1,153211.0,2221221.41,44693.76999999999
ATENOLOL 2,6576484.518,153149.0,836368.18,32014.379999999997
FINASTERID,5117953.816,152593.0,1226169.350000001,37035.06999999998
DESMOPRESS,8921164.9,151791.0,8383095.820000003,213889.67000000013
PANTOPRRAZ,5221320.569999999,150814.0,1346117.0099999998,43151.11000000001
ALLERGY RE,4946075.746,150383.0,1160856.0599999994,1537.8000000000002
MYCOPHENOL,18634879.645999998,149955.0,17366506.690000013,3029816.5999999996
MINOCYCLIN,6643678.4,149734.0,3546711.7900000005,72142.67000000004
PRENATAL V,5080420.0,149033.0,1167867.2400000002,22435.07
DEXTROAMP-,6816211.5,148338.0,5144081.740000001,227334.85000000015
POLYMYXIN,1461302.446,145844.0,1280543.0400000003,7365.650000000002
ESOMEPRAZO,5646773.964,145612.0,3788641.329999998,67890.00000000001
SPRINTEC 2,5200357.0,144644.0,1495368.5499999998,1745.6299999999999
METHIMAZOL,7720984.99,144191.0,1410396.73,33644.93000000001
JUNEL FE 1,5813435.474,144101.0,2232324.5299999993,4073.4500000000007
TRIAMTEREN,5169606.33,143969.0,1133001.7799999986,29373.209999999995
Sertraline,5985688.0,142631.0,1194868.9800000004,52954.50000000004
Pantoprazo,5676850.3379999995,142196.0,1258467.2600000002,57718.089999999975
PHENAZOPYR,1544702.447,142169.0,2389488.0500000017,26524.26000000001
PHENYTOIN,16632540.296000002,141850.0,4030201.1299999976,50323.020000000026
LEVEMIR FL,2236156.3499999996,141242.0,65459708.790000014,1018557.72
LACTATED R,191413720.067,141215.0,32201733.26999999,1456782.4899999998
INVEGA SUS,162851.435,139779.0,283800425.33999985,1995126.6500000004
PRAZOSIN 2,5833359.0,139017.0,2879569.0900000003,36150.23999999998
NALTREXONE,4020449.931,138008.0,3566509.0900000026,67824.53000000001
Methylphen,6198988.0,137283.0,13614273.480000002,404788.13999999996
VYVANSE 70,4081370.0,137050.0,39947801.190000005,1656588.3200000003
VERAPAMIL,6572107.616000001,136537.0,3346415.690000002,53128.069999999985
ENOXAPARIN,1703230.0090000015,136528.0,26261422.32,628693.2000000001
Buspirone,9743733.5,135766.0,1671519.2199999997,47824.75999999999
AMOX CLAV,8801144.56,135737.0,1830844.4299999995,39715.770000000026
BISACODYL,4105499.5,135494.0,619369.4200000005,9512.070000000002
TRI-SPRINT,4774739.0,135352.0,1490223.2199999997,1418.2199999999998
TESTOSTERO,3196452.954999996,135076.0,8098527.720000001,108960.36999999995
TERCONAZOL,4495176.444,135073.0,4149495.419999999,61097.99000000001
MIDAZOLAM,399906.74400000006,134993.0,34445296.72999998,1089112.6399999994
ADVAIR HFA,1652552.0,134641.0,54841065.77000002,1792826.53
ATENOLOL,5421107.799,134320.0,647059.6699999995,4688.540000000004
VICTOZA 6M,1068836.0,133571.0,109362489.40999998,984349.7600000001
SPIRIVA RE,548550.101,133332.0,58701823.749999985,489564.4400000001
INCRUSE EL,4055985.0,133025.0,45689477.22000001,199393.87000000008
DONEPEZIL,4242988.5,132990.0,1159403.2000000018,36906.23000000001
ATENOLOL 5,5791032.218000002,132299.0,663739.5900000002,25128.02
Hydrocodon,8378960.729999999,131814.0,1406660.81,45079.38999999996
BACLOFEN 2,10905273.411999995,130897.0,2931508.5200000014,68457.68999999999
VYVANSE 60,3888369.0,130387.0,38136435.34,1631258.0199999998
NORGESTIMA,4966504.125999998,129362.0,1750897.3199999991,2205.2000000000003
NITROGLYCE,5270638.522,128232.0,2402396.390000001,26987.579999999994
Topiramate,8084560.593,128012.0,1460880.190000001,81073.82999999997
NICOTINE 2,5973381.48,127943.0,4795769.829999998,13235.99
GUAIFENESI,21445878.687000003,127084.0,894167.6699999999,16244.23
STEGLATRO,4156684.0,126649.0,40289328.75999999,19251.65
GENTAMICIN,3246409.464,125791.0,2996523.4799999995,118070.18
DOK,7249440.5,125401.0,675134.8099999998,4246.5
ASPIRIN,4063787.488,125365.0,620453.3400000001,1803.0099999999998
DIAZEPAM 5,7483575.902,124770.0,1000450.9400000004,57954.43
OXYCODONE/,9506960.0,124390.0,3164349.8400000003,62844.19000000001
TRESIBA FL,1576607.2000000002,123815.0,72650642.07,1515720.9099999995
SPIRIVA 30,3874315.0,122770.0,55445138.71,316532.47000000003
ENTERIC CO,3938598.0,122415.0,90396.76,575.54
BIKTARVY 5,3758617.0,122044.0,387417059.6,2264861.43
Olanzapine,3941103.5,121882.0,1636655.3800000015,66827.14000000003
CHILDREN I,22621842.394,121358.0,773789.03,86.12
GLYBURIDE,8683443.4,120860.0,1174007.45,19713.619999999995
HEPARIN SO,3399805.7820000006,120066.0,11564942.449999996,2043099.2299999997
ELIQUIS,7008228.5,119875.0,52903819.43000001,482202.82999999996
CALCITRIOL,3840608.7000000007,119479.0,2300169.440000003,114540.15000000004
VALPROIC A,61309858.00200001,119374.0,2424301.919999999,70961.03000000003
TEMAZEPAM,3521534.0640000002,119259.0,996302.3100000003,20682.520000000004
TRUE METRI,9494558.0,117918.0,4746027.879999999,5197.8099999999995
Famotidine,6056590.090000001,116497.0,2209173.76,89115.29999999996
VALSARTAN,4254438.0,116287.0,2162543.229999999,25748.129999999986
DORZOLAMID,1262861.0,115725.0,2702516.6499999985,45398.55000000001
ROBAFEN DM,23840932.5,115720.0,688990.1699999997,1682.7199999999998
SUBOXONE 1,1953614.0,114384.0,33502135.38,118124.01
ATENOLOL T,5621203.225999998,113262.0,668162.51,25651.629999999994
BACLOFEN T,8116231.015000001,111955.0,1657435.2400000002,43238.92999999999
PROCHLORPE,3438947.8,109977.0,4024700.7199999993,160867.2599999999
Guanfacine,4842243.582,109897.0,2891089.0600000005,105747.86000000003
Cetirizine,15702522.638999999,109427.0,1168517.2000000004,14357.440000000004
LOPERAMIDE,5920904.267999999,109294.0,1588829.77,22434.989999999998
DESVENLAFA,3531895.0,108148.0,4285460.249999998,76419.34999999995
JANUVIA,3405314.0,108027.0,51855041.469999984,277476.56999999995
BACITRACIN,2904874.5469999993,107784.0,1020864.6699999999,13751.400000000001
TRINTELLIX,3326527.56,107509.0,42106941.92,758118.1900000002
DIAZEPAM,5103929.95,107135.0,3744679.83,199237.47
HUMALOG,1939469.5730000006,106948.0,48381024.07000002,2146509.5100000007
ZOLPIDEM 5,2873405.0,106280.0,596781.2300000002,21885.75
VENOFER,390849.51999999996,105898.0,5377734.709999999,2030125.9799999997
PULMICORT,6621719.533,105379.0,40194051.290000014,432147.3599999999
COMBIVENT,434859.0,105288.0,44911778.98,168453.93000000002
